,Farm Index,Arable Index,Pasture Index,Wood Index,Wheat,Rye,Barley,Oats,Peas,Beans,Potato,Hops Net Tax,Straw,Hay,Cheese,Butter,Milk,Wool,Beef,Mutton,Pork,Bacon,Tallow,Eggs,Firewood,Timber
1810,137.69,155.54,118.47,39.43,12.9,7.43,5.83,3.47,7.35,6.75,3.15,124.85,39.27,154.81,8.59,11.38,12.79,14.76,8.45,7.28,13,8.88,6.47,8.74,38.82,40.04
1811,134.12,147.15,120.16,34.62,11.55,5.66,5.12,3.34,6.2,5.83,3.01,173.13,48.18,179.23,8.9,12.76,13.57,10.75,8.7,7.5,13,8.72,6.17,8.79,38.75,30.93
1812,153.97,193.58,117.29,35.65,15.34,9.18,8.09,5.4,8.87,8.49,4.24,150.15,38.42,120.87,9.3,12.84,13.77,12.21,8.88,7.85,13,8.75,6.92,8.99,43.7,29.08
1813,147.6,172.96,122.02,37.8,13.31,9.59,7.09,4.67,10.57,9.74,5.2,262.79,27.8,113.51,7.54,12.23,14.43,13.82,9.28,8.42,13.44,10.75,8.61,13.95,45.98,31.08
1814,123.93,121.4,126.61,38.06,9.01,5.97,4.53,3.11,6.98,5.75,3.3,198.55,28.82,116.83,7.17,12.63,13.77,17.23,9.56,8.87,17.08,10.31,9.12,14.24,45.98,31.51
1815,111.53,105.39,118.55,37.84,7.95,5.08,3.67,2.86,5.3,4.57,3.3,186.35,24.34,119.95,7.14,13.2,14.29,17.82,8.49,7.43,15.73,8.14,7.28,12.03,46.16,31.02
1816,111.17,121.72,98.93,35.27,9.52,5.09,4.11,3.29,4.73,3.95,3.48,220.02,29.99,112.75,6.99,9.78,13.83,11.89,7.18,6.26,11.85,6.2,5.44,10.29,43.7,28.46
1817,123.08,150.02,96.74,33.07,11.75,6.95,5.98,3.93,6.75,5.77,3.97,340.82,26.64,105.18,5.77,9.32,14.49,14.05,6.41,6.14,12,7.03,5.31,9.58,42.67,25.63
1818,131.56,150.45,111.17,40.26,10.46,6.84,6.53,3.93,6.3,7.24,4.04,305.13,34.39,133.38,7.89,11.77,15.15,18.76,5.86,6.22,14.27,7.57,7.48,9.87,41.94,38.64
1819,125.98,133.34,117.4,36.07,9.03,6.98,5.55,3.42,7.13,7.42,4.18,91.43,39.61,145.33,8.46,10.8,15.15,13.41,7.68,7.51,15.67,8.67,6.74,11.74,40.67,31.98
1820,105.63,106.12,104.65,32.2,8.22,5.2,4.1,2.93,5.45,5.41,3.57,78.62,21.11,97.48,6.57,9.53,15.15,12.98,7.96,7.47,14.75,7.3,6.63,9.87,41.94,24.72
1821,91.26,89.55,92.69,30.34,6.8,4.1,3.15,2.36,4.1,4.55,3.46,61.07,22.81,79.77,6.49,9.2,15.15,10.91,6.97,6.6,13,5.88,5.57,9.33,37.35,24.65
1822,81.02,79.95,81.44,29.01,5.41,2.83,2.65,2.19,3.35,3.71,4.47,73.26,27.46,88.93,5.76,8.2,14.66,10.09,5.51,4.55,10.8,5.24,4.63,7.91,38.57,21.82
1823,91.4,97.35,83.69,32.51,6.47,3.98,3.82,2.78,3.98,3.66,2.96,138.52,30.47,111.13,6.02,8.11,14.14,10.49,5.23,4.66,10.36,4.87,4.73,8.25,38.57,27.4
1824,105.41,113.95,95.62,30.95,7.75,5.18,4.41,3.01,4.66,4.39,3.59,156.85,35.27,141.63,7.09,9.06,14.14,11.31,6.02,5.35,11.8,6.59,4.37,7.78,40.81,23.47
1825,113.5,123.07,103.15,29.46,8.31,5.28,4.85,3.11,6.07,5.31,3.84,370.1,32.34,127.22,7.94,9.98,14.14,13.25,6.73,6.03,13.25,7.69,4.85,8.35,40.81,21.26
1826,103.32,108.6,97.14,29.36,7.11,5.14,4.16,3.23,6.08,5.73,4.2,152.04,29.11,119.97,7.05,9.95,14.14,8.07,7.15,6.6,14,6.73,4.7,8.99,40.81,21.12
1827,103.77,109.67,97.21,27.52,7.09,5.02,4.56,3.42,6.44,6.78,3.97,97.4,28.46,137.18,6.9,9.45,14.14,7.94,7.03,6.37,14,6.38,4.93,8.28,40.18,18.84
1828,97.03,99.12,94.26,29.05,7.33,4.27,3.98,2.73,5.01,5.15,2.77,93.87,22.55,106.07,7.54,8.82,14.14,8.93,6.77,6.14,12.52,7.12,4.85,7.64,40.81,20.68
1829,96.35,105.82,85.6,29.1,8.03,4.35,3.94,2.76,4.5,4.84,3.43,141.86,24.09,85.3,6.46,8.45,13.84,7.28,6.52,5.63,13.64,6.54,4.77,7.96,40.81,20.75
1830,96.88,111.63,81.46,-1,7.79,4.48,3.95,2.96,4.83,4.75,3.79,236.16,32.34,84.86,6.14,8.46,13.84,8.3,5.62,5.18,10.54,5.56,4.43,8.08,40.81,18.42
1831,98.6,110.45,85.81,-1,8.04,5,4.61,3.07,5.18,4.92,3.59,117.3,23.15,80.18,6.87,9.33,13.52,9.99,6,5.57,11.18,5.4,5.03,-1,40.81,15.96
1832,93.3,98.87,86.9,-1,7.11,4.32,4.01,2.48,4.85,4.57,2.39,146.7,25.71,87.78,7.08,8.67,13,10.66,5.39,5.68,-1,6.3,4.86,-1,-1,-1
1833,85.92,88.01,83.41,-1,6.42,4.11,3.33,2.23,4.59,4.12,3.3,-1,20.77,76.08,7.05,8.28,13,11.58,5.12,5.22,-1,6.01,5,-1,-1,-1
1834,86.26,87,85.35,-1,5.6,4.09,3.52,2.54,4.77,4.26,4.59,105.05,21.28,97.73,6.31,7.95,12,15.11,5.12,5.34,-1,5.03,4.87,-1,-1,-1
1835,82.96,84.14,81.54,-1,4.77,3.79,3.63,2.67,4.63,4.51,3.72,117.3,26.9,99.49,6.09,8.42,12,14.45,4.72,4.43,-1,4.82,4.62,-1,-1,-1
1836,89.92,90.77,88.87,-1,5.88,4.17,3.98,2.8,4.65,4.56,3.51,-1,21.79,94.22,7.03,9.63,12,15.79,5.39,4.77,12.51,5.99,4.75,-1,-1,-1
1837,94.71,99.24,89.45,-1,6.77,4.34,3.68,2.8,4.91,5.11,4.8,91.58,26.56,100.52,7.01,10.22,12,12.23,5.39,5.22,12.18,6.44,4.59,-1,-1,-1
1838,99.16,103.87,93.68,-1,7.83,4.39,3.81,2.72,4.8,4.5,3.11,78.1,28.6,115,7.05,9.68,12,13.2,5.65,5.22,13.17,6.97,5.17,-1,-1,-1
1839,105.65,118.65,91.66,-1,8.57,5.25,4.79,3.14,5.04,4.89,5.98,78.1,26.9,104.76,6.98,10.07,12,14.2,5.39,5.22,11.85,6.56,4.93,-1,-1,-1
1840,100.47,110.93,89.01,-1,8.04,4.62,4.42,3.11,5.64,5.39,4.64,62.18,25.88,91.44,7.08,10.34,12,12.26,5.66,5.11,-1,6.22,5.13,-1,-1,-1
1841,99.98,108.54,90.42,-1,7.8,4.59,3.98,2.72,5.13,5.08,4.06,168.75,28.09,94.35,7.1,10.2,12,10.07,6.2,5.68,-1,6.59,4.86,-1,-1,-1
1842,90.04,95.08,84.23,-1,6.94,4.12,3.33,2.33,4.47,4.53,4.2,102.6,25.71,90.71,6.76,9.49,12,9.17,5.66,5.22,11.85,5.5,4.82,-1,-1,-1
1843,84.31,92.34,75.43,-1,6.07,3.82,3.58,2.22,4,3.58,2.7,-1,33.71,88.99,6.29,8.66,12,9.06,4.58,4.31,-1,4.46,4.35,-1,-1,-1
1844,85.84,93.85,76.97,-1,6.21,4.24,4.08,2.5,4,4.13,4,165.69,21.28,86.91,5.71,8.72,12,10.88,4.58,4.31,-1,5.15,4.17,-1,-1,-1
1845,88.57,94.74,81.56,-1,6.16,4.06,3.84,2.73,4.6,4.69,3.47,147.92,25.36,108.85,5.88,9.3,12,12.3,4.31,4.54,-1,5.47,4.04,-1,-1,-1
1846,92.17,96.81,86.79,-1,6.63,4.38,3.96,2.87,4.89,4.8,5.11,86.68,22.13,87.2,7.07,9.63,11,13,5.44,5.98,-1,5.62,4.11,-1,-1,-1
1847,108.23,125.49,90.31,-1,8.46,6.12,5.36,3.48,5.81,6.01,10.18,68.92,21.96,81.46,7.15,9.81,11,12,5.9,6.26,15.8,6.75,4.98,-1,-1,-1
1848,86.97,87.81,85.94,-1,6.12,3.8,3.82,2.49,5.44,4.76,4.06,91.58,18.39,77.35,7.05,9,10,11,6,5.84,14.48,6.44,4.89,-1,-1,-1
1849,83.53,88.44,77.89,-1,5.37,3.21,3.36,2.12,4.42,4.04,7.3,220.2,21.45,70.52,6.83,8.57,10,10,5.02,4.74,13.6,6.33,4.22,-1,-1,-1
1850,75.59,74.54,76.87,-1,4.88,2.91,2.84,1.99,3.58,3.68,4.72,152.82,16.85,77.11,6.59,8.11,10,11,4.77,4.61,13.83,5.57,3.91,-1,-1,-1
1851,76.53,77.09,75.61,-1,4.67,-1,3,2.25,3.4,3.58,5.11,270.42,17.19,83.43,5.77,8.29,8,12.5,4.59,4.74,-1,5.04,-1,-1,-1,-1
1852,76.14,80.16,71.97,-1,4.94,-1,3.46,2.31,3.82,3.8,5.11,130.78,17.7,61.51,5.61,8.27,7,13.63,4.71,4.74,13.17,5.04,4.34,-1,-1,-1
1853,90.9,95.07,86.48,-1,6.46,-1,4.02,2.55,4.81,3.77,4.2,315.74,20.09,99.35,6.11,8.9,8,16,5.77,5.84,13.17,5.58,4.58,-1,-1,-1
1854,102.85,114.47,91.96,-1,8.78,-1,4.37,3.38,5.83,5.62,4.12,206.92,24.17,103.62,7.12,10.61,7.5,15.5,6.39,5.84,-1,6.14,4.7,-1,-1,-1
1855,103.37,114.84,92.6,-1,9.05,-1,4.21,3.32,5.74,5.54,5.27,179.44,19.24,103.69,6.82,10.2,9.59,13,6.62,5.78,15.8,6.12,5.16,7.89,-1,-1
1856,102.86,109.69,95.98,-1,8.39,-1,4.98,3.05,5.3,5.15,4.66,108.59,17.7,99.98,7.48,10.98,9.91,16,6.31,5.78,15.8,6.5,5.34,7.89,-1,-1
1857,100.06,104.61,95.25,-1,6.83,-1,5.1,3.03,5.02,5.23,5.9,109.52,18.56,77.36,7.18,11.09,9.87,20.5,6.4,5.78,15.8,6.78,5.52,8.3,-1,-1
1858,89,88.89,88.68,-1,5.36,-1,4.2,2.97,5.14,5.04,5.04,94.17,18.73,76.54,7.04,10.41,9.37,15.63,6.16,5.5,15.8,6.08,4.99,7.47,-1,-1
1859,90.02,86.59,93.14,-1,5.3,-1,4.06,2.81,4.83,5.05,4.87,92.37,18.04,86.43,7.12,10.38,9.12,18.63,6.25,5.84,15.8,6.07,5.47,8.24,-1,-1
1860,103.1,102.65,103.05,-1,6.46,-1,4.44,2.96,5,5.16,6.27,160.25,21.96,122.91,7.96,10.96,9,20.13,6.49,6.26,15.8,6.79,5.49,8.43,-1,-1
1861,103.28,105.45,100.66,-1,6.71,-1,4.38,2.88,4.56,5.01,6.99,166,23.15,118.59,6.87,10.56,9.87,19.5,6.37,6.26,15.8,6.8,5.03,8.44,-1,-1
1862,98.97,103.57,94.11,-1,6.72,-1,4.25,2.74,4.63,4.39,6.43,156.54,24.51,86.76,6.67,10.3,10,20.5,6.04,5.98,15.8,6.62,4.5,8.04,-1,-1
1863,91.65,90.12,92.74,-1,5.43,-1,4.11,2.57,4.37,4.38,5.55,131.91,21.11,75.33,6.9,10.23,9.49,22.63,6.46,5.98,-1,6.34,3.99,8.01,-1,-1
1864,89.5,81.69,97.58,-1,4.87,-1,3.63,2.44,4.38,4.61,4.76,162.11,18.73,78.57,6.77,10.52,9.75,27.38,6.82,6.39,15.8,6.46,4.44,8.21,-1,-1
1865,96.13,84.8,108.44,-1,5.07,-1,3.61,2.65,4.57,5.02,5.05,138.42,20.43,106.62,7.3,11.16,11.96,25.75,7,7.22,15.8,7,5.29,8.07,-1,-1
1866,102.93,99.56,105.9,-1,6.05,-1,4.54,2.98,4.69,5.48,5.68,164.76,-1,93.71,7.13,11.64,12.49,23.5,7.18,6.88,17.12,6.74,5.67,7.76,-1,-1
1867,106.66,116.96,96.79,-1,7.81,-1,4.85,3.15,5.12,5.34,7.08,136.43,-1,91.48,6.52,11,11.49,18.88,6.8,6.26,17.12,5.64,5.01,8.26,-1,-1
1868,105.27,116.5,94.66,-1,7.73,-1,5.21,3.41,5.52,5.81,6.48,74.05,-1,86.17,7.02,10.55,10.95,17.5,6.53,5.84,17.12,5.71,5.59,9.45,-1,-1
1869,102.56,98.69,106.07,-1,5.84,-1,4.78,3.15,4.83,5.34,6.12,84.74,-1,121.81,7.07,12.46,10.68,18.13,7.07,6.39,16.46,7.11,5.71,8.85,-1,-1
1870,98.32,94.31,102.01,-1,5.69,-1,4.19,2.77,4.67,5.24,6.96,83.25,-1,96.64,7.16,11.87,9.8,16.75,7.22,6.53,15.8,7.89,5.47,9.37,-1,-1
1871,107.99,104.86,110.69,-1,6.87,-1,4.39,3.05,4.9,5.18,6.36,101.64,-1,134.02,7.05,12.85,9.95,21.38,7.89,7.36,15.8,6.39,5.07,10.82,-1,-1
1872,105.66,106.22,104.59,-1,6.91,-1,4.53,2.81,4.86,4.91,6.82,124.25,-1,79.83,6.87,12.39,10.51,25.63,7.81,7.63,-1,6.62,4.35,11.79,-1,-1
1873,108.89,111.5,105.84,-1,7.11,-1,4.9,3.08,4.86,5.17,7.11,122.02,-1,74.39,7.05,12.14,11.22,24.5,8.73,7.84,-1,6.76,4.23,11.86,-1,-1
1874,104.76,113.54,96.2,-1,6.76,-1,5.45,3.5,5.18,5.75,6.56,158.05,-1,51.47,6.33,12.86,12.55,20.75,8.13,6.6,-1,6.72,4.31,11.87,-1,-1
1875,98.7,97.29,99.65,-1,5.48,-1,4.66,3.48,5.17,5.51,6.04,115.06,-1,-1,6.57,12.71,12.55,19.75,8.22,7.36,-1,7.34,5,11.47,-1,-1
1876,103.11,96.75,109.34,-1,5.6,-1,4.26,3.18,4.87,4.91,7.15,113.32,-1,105.81,6.3,13.16,12.55,17.75,8.16,7.22,-1,7.57,4.84,11.55,-1,-1
1877,107.04,109.5,104.14,-1,6.88,-1,4.81,3.14,4.79,4.44,7.34,116.3,-1,100.09,7.14,13.19,12.85,16.25,7.4,6.74,-1,6.64,4.52,10.93,-1,-1
1878,98.51,97.86,98.69,-1,5.63,-1,4.87,2.95,4.4,4.86,6.84,92.94,-1,88.38,6.19,12.55,12.85,15,7.44,6.88,-1,6.54,3.89,9.37,-1,-1
1879,91.13,91.68,90.14,-1,5.31,-1,4.12,2.64,4.31,4.71,7.37,115.31,-1,78.82,5.39,11.05,12.49,12.5,7,6.53,-1,6.3,3.44,8.34,-1,-1
1880,94.42,92.24,96.18,-1,5.38,-1,4.01,2.8,4.54,4.96,7.27,114.31,-1,80.76,6.76,11.18,10.95,15.13,7.35,6.74,-1,6.96,3.7,9.93,-1,-1
1881,94.16,90.92,97.06,-1,5.5,-1,3.87,2.64,4.51,4.82,6.71,117.05,-1,85.55,6.19,12.92,10.95,12.38,7.16,7.15,-1,7.38,4.21,8.6,-1,-1
1882,96.3,92.84,99.41,-1,5.47,-1,3.78,2.65,4.41,4.73,7.26,230.37,-1,104.76,6.29,12.56,10.95,11.25,7.6,7.49,-1,7.03,4.69,9.23,-1,-1
1883,92.33,90.06,94.56,-1,5.04,-1,3.86,2.6,4.4,4.62,7.18,208.5,-1,74.91,6.48,12.38,11.31,10,7.94,7.63,-1,6.72,4.56,10.65,-1,-1
1884,86.74,82.22,90.04,-1,4.32,-1,3.72,2.46,3.87,3.98,6.8,156.31,-1,79.01,6.29,12.24,10.36,10,7.55,6.6,-1,6.18,4.02,9.74,-1,-1
1885,81.41,77.64,84.26,-1,3.98,-1,3.65,2.5,3.75,3.75,6.54,93.19,-1,71.98,6.76,11.19,10.17,9.88,6.89,5.84,-1,5.75,3.36,9.08,-1,-1
1886,77.53,71.21,81.68,-1,3.76,-1,3.22,2.3,3.49,3.79,6.23,72.32,-1,80.18,5.52,11.11,9.81,10,6.39,6.25,-1,5.31,2.94,8.99,-1,-1
1887,76.56,70.15,80.75,-1,3.94,-1,3.07,1.97,3.26,3.87,6.96,73.31,-1,83.4,6.19,11.46,9.71,10.5,6.09,5.25,-1,5.03,2.88,9.07,-1,-1
1888,78.87,71.8,83.44,-1,3.86,-1,3.37,2.03,3.25,3.72,6.5,91.95,-1,102.42,5.81,11.63,9.69,10.38,6.11,5.88,-1,4.86,3.17,8.66,-1,-1
1889,78.64,71.34,83.33,-1,3.61,-1,3.13,2.15,3.66,3.81,7.05,88.97,-1,90.71,5.62,11.63,9.22,11,6.2,6.25,-1,5.25,3.07,8.83,-1,-1
1890,75.62,75.18,76.75,-1,3.87,-1,3.48,2.25,3.66,3.61,6.54,116.05,-1,69.06,5.43,10.96,9.17,11,6.03,5.63,-1,4.84,2.83,8.72,-1,-1
1891,77.79,81.58,77,-1,4.49,-1,3.42,2.43,3.98,4,7.49,124.75,-1,69.41,5.33,11.5,9.11,9.75,6.67,5.25,-1,4.71,2.88,9.67,-1,-1
1892,77.96,73.45,81.14,-1,3.67,-1,3.17,2.4,3.85,3.75,6.26,127.24,-1,86.1,5.24,11.62,9.95,8.75,6.28,5.25,-1,5.59,2.98,9.2,-1,-1
1893,81.48,69.71,88.75,-1,3.19,-1,3.1,2.27,3.53,3.47,6.25,138.67,-1,126.67,5.05,10.83,10.09,10.25,6.44,5.25,-1,6.07,3.69,9.58,-1,-1
1894,77.61,65.07,85.35,-1,2.77,-1,2.97,2.07,3.18,3.11,6.92,101.64,-1,128.17,5.05,10.08,9.86,10.13,6.08,5.25,-1,5.58,3.13,9.46,-1,-1
1895,69.14,59.52,75.1,-1,2.8,-1,2.66,1.76,3.2,3.19,6.49,73.81,-1,80.35,4.48,9.61,8.9,12,5.89,5.5,-1,4.5,2.8,8.94,-1,-1
1896,66.45,61.84,69.58,-1,3.17,-1,2.78,1.79,3.15,3.28,6.27,71.07,-1,80.07,3.81,9.71,8,11.5,5.29,4.88,-1,4.16,2.33,9.07,-1,-1
1897,70.1,65.22,73.4,-1,3.66,-1,2.85,2.05,3.05,3.27,5.5,79.27,-1,80.7,4.86,9.61,8.1,9.63,5.51,5.13,-1,5.21,2.07,8.63,-1,-1
1898,71.1,72.74,71.2,-1,4.12,-1,3.29,2.23,3.53,3.55,5.65,104.87,-1,78.37,4.1,9.35,7.96,8.75,5.31,4.63,-1,5.46,2.34,9.08,-1,-1
1899,70.07,65.85,73.02,-1,3.11,-1,3.1,2.06,3.64,3.72,5.61,111.58,-1,75.24,5.05,9.87,8.12,8.25,5.79,5.13,-1,-1,2.51,8.82,-1,-1
1900,72.43,64.65,77.33,-1,3.26,-1,3.02,2.13,3.88,3.79,4.84,99.65,-1,83.36,5.05,10.23,8.39,7.88,6.22,5.63,-1,5.25,2.93,9.59,-1,-1
1901,73.68,66.28,78.39,-1,3.24,-1,3.05,2.23,4.08,4.1,5.14,98.91,-1,94.52,4.86,10.23,8.92,6.88,5.91,5.5,-1,5.47,3.24,9.68,-1,-1
1902,75.73,68.47,80.38,-1,3.41,-1,3.11,2.45,4.06,4.13,4.94,103.63,-1,101.19,5.14,10.17,9.15,6.25,6.37,5.5,-1,5.38,3.85,9.26,-1,-1
1903,75.47,66.52,81.06,-1,3.24,-1,2.75,2.08,-1,4.1,6.5,-1,-1,87.78,-1,11.5,-1,7.25,6.04,5.88,-1,-1,3.05,9.6,-1,-1
1904,76.49,64.29,84.01,-1,3.44,-1,2.71,1.98,-1,3.77,5.58,-1,-1,81.93,-1,12.25,-1,10.13,5.91,6.25,-1,-1,2.74,10.02,-1,-1
1905,80.41,73.97,84.65,-1,3.6,-1,2.95,2.1,-1,4.11,8.77,-1,-1,80.18,-1,11.75,-1,12.38,5.97,6.38,-1,-1,2.79,10.34,-1,-1
1906,77.23,72.75,80.39,-1,3.43,-1,2.93,2.22,-1,4.44,7.97,-1,-1,76.5,-1,-1,7.97,13.38,5.91,6.63,-1,-1,3.1,11.35,-1,-1
1907,77.98,71.65,82.14,-1,3.71,-1,3.04,2.28,-1,3.19,6.57,-1,-1,78.82,-1,-1,8.28,12.25,5.97,6.75,-1,-1,3.58,11.28,-1,-1
1908,82.07,72.76,87.9,-1,3.88,-1,3.13,2.16,-1,4.35,6.39,-1,-1,72.33,-1,12.75,8.41,8.5,5.97,6.5,-1,-1,3.24,11.02,-1,-1
1909,84,79.77,87.12,-1,4.48,-1,3.25,2.29,-1,4.24,7.52,-1,-1,74.18,-1,12.5,8.44,9,6.24,5.75,-1,-1,3.28,11.36,-1,-1
1910,84.07,73.32,90.75,-1,3.84,-1,2.8,2.1,-1,4.46,8.08,-1,-1,74.18,-1,12.5,8.31,9.88,6.44,6.5,-1,-1,3.65,11.23,-1,-1
1911,86.97,80,91.56,-1,3.84,-1,3.3,2.28,-1,4.44,9.15,-1,-1,92.72,-1,12,8.65,10,6.04,6.13,-1,-1,3.57,11.66,-1,-1
1912,94.66,82.55,102.19,-1,4.21,-1,3.72,2.61,-1,4.56,6.85,-1,-1,106.64,-1,13.25,9.09,10.5,6.98,-1,-1,-1,3.59,12,-1,-1
1913,91.49,74.61,101.92,-1,3.84,-1,3.3,2.31,-1,4.49,6.27,-1,-1,99.69,-1,13.5,9.08,12.38,6.85,-1,-1,-1,3.64,12.21,-1,-1
1914,94.63,86.21,100.08,-1,4.23,-1,3.29,2.54,-1,4.24,10.54,-1,-1,71.87,-1,-1,9.31,12.63,7.25,-1,-1,-1,3.53,13.1,-1,-1